Demographic Data Report for United States by County,,,,
Population: White,,,,
"All Ages, Both Sexes",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County,fips,Value (Percent),People (White),Rank within US
"Lincoln County, Maine",23015,95.3,33405,423 of 3143
"Pope County, Minnesota",27121,95.3,10685,424 of 3143
"Schuyler County, New York",36097,95.3,17070,425 of 3143
"Dickey County, North Dakota",38021,95.3,4775,426 of 3143
"Kingman County, Kansas",20095,95.3,7139,427 of 3143
"Pocahontas County, Iowa",19151,95.2,6754,428 of 3143
"Adams County, Indiana",18001,95.2,33989,429 of 3143
"Posey County, Indiana",18129,95.2,24098,430 of 3143
"Ripley County, Missouri",29181,95.2,10507,431 of 3143
"Sagadahoc County, Maine",23023,95.2,34789,432 of 3143
"Knox County, Ohio",39083,95.2,59421,433 of 3143
"Oconto County, Wisconsin",55083,95.2,36844,434 of 3143
"Hawkins County, Tennessee",47073,95.2,54083,435 of 3143
"Anderson County, Kansas",20003,95.2,7426,436 of 3143
"Sequatchie County, Tennessee",47153,95.2,14972,437 of 3143
"Cedar County, Missouri",29039,95.2,13501,438 of 3143
"Kewaunee County, Wisconsin",55061,95.2,19546,439 of 3143
"Worth County, Iowa",19195,95.2,7091,440 of 3143
"Lewis County, New York",36049,95.2,25395,441 of 3143
"Pike County, Ohio",39131,95.2,25953,442 of 3143
"Cannon County, Tennessee",47015,95.2,13617,443 of 3143
"Lac qui Parle County, Minnesota",27073,95.2,6426,444 of 3143
"Frontier County, Nebraska",31063,95.1,2390,445 of 3143
"Oxford County, Maine",23017,95.1,54993,446 of 3143
"Ohio County, Kentucky",21183,95.1,22698,447 of 3143
"Camden County, Missouri",29029,95.1,40954,448 of 3143
"Breckinridge County, Kentucky",21027,95.1,19353,449 of 3143
"Putnam County, West Virginia",54079,95.1,54585,450 of 3143
"Crow Wing County, Minnesota",27035,95.1,62661,451 of 3143
"Lee County, Kentucky",21129,95.1,6908,452 of 3143
"Wabash County, Illinois",17185,95.1,10856,453 of 3143
"Green County, Kentucky",21087,95.1,10594,454 of 3143
"Guthrie County, Iowa",19077,95.1,10078,455 of 3143
"Rutland County, Vermont",50021,95.1,57672,456 of 3143
"Dawson County, Montana",30021,95.1,8559,457 of 3143
"Sweet Grass County, Montana",30097,95.1,3508,458 of 3143
