Demographic Data Report for United States by County,,,,
Population: White,,,,
"All Ages, Both Sexes",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County,fips,Value (Percent),People (White),Rank within US
"McDowell County, West Virginia",54047,89.7,17350,1273 of 3143
"Jessamine County, Kentucky",21113,89.7,47572,1274 of 3143
"Kearny County, Kansas",20093,89.7,3606,1275 of 3143
"Josephine County, Oregon",41033,89.7,78668,1276 of 3143
"Franklin County, Tennessee",47051,89.7,38153,1277 of 3143
"Seneca County, New York",36099,89.7,30411,1278 of 3143
"Washington County, Maine",23029,89.7,27810,1279 of 3143
"Coffee County, Tennessee",47031,89.7,51327,1280 of 3143
"Owsley County, Kentucky",21189,89.7,3671,1281 of 3143
"Carroll County, Maryland",24013,89.7,154351,1282 of 3143
"Logan County, Arkansas",05083,89.7,19096,1283 of 3143
"Carroll County, Kentucky",21041,89.7,9690,1284 of 3143
"McDowell County, North Carolina",37111,89.7,39921,1285 of 3143
"Carver County, Minnesota",27019,89.7,94759,1286 of 3143
"White County, Arkansas",05145,89.6,69092,1287 of 3143
"St. Joseph County, Michigan",26149,89.6,54526,1288 of 3143
"Columbia County, Oregon",41009,89.6,46948,1289 of 3143
"Grundy County, Tennessee",47061,89.6,12069,1290 of 3143
"Klickitat County, Washington",53039,89.6,20137,1291 of 3143
"Marshall County, Tennessee",47117,89.6,30376,1292 of 3143
"Harding County, South Dakota",46063,89.6,1056,1293 of 3143
"Morton County, North Dakota",38059,89.6,29477,1294 of 3143
"Yankton County, South Dakota",46135,89.5,20781,1295 of 3143
"Banks County, Georgia",13011,89.5,16166,1296 of 3143
"Washington County, Kentucky",21229,89.5,10701,1297 of 3143
"Oldham County, Kentucky",21185,89.5,60478,1298 of 3143
"Curry County, Oregon",41015,89.5,20790,1299 of 3143
"Clark County, Kansas",20025,89.5,1784,1300 of 3143
"Hopkins County, Kentucky",21107,89.5,40646,1301 of 3143
"La Salle County, Illinois",17099,89.5,98393,1302 of 3143
"Washington County, Tennessee",47179,89.5,118143,1303 of 3143
"Mesa County, Colorado",08077,89.4,138360,1304 of 3143
"Wilkes County, North Carolina",37193,89.4,59328,1305 of 3143
"Grand County, Colorado",08049,89.4,13978,1306 of 3143
"Bledsoe County, Tennessee",47007,89.4,13292,1307 of 3143
"Routt County, Colorado",08107,89.4,22266,1308 of 3143
"Nicollet County, Minnesota",27103,89.4,30666,1309 of 3143
"Powell County, Montana",30077,89.4,6219,1310 of 3143
"Defiance County, Ohio",39039,89.4,34266,1311 of 3143
"Cherokee County, Kansas",20021,89.4,17437,1312 of 3143
"Audrain County, Missouri",29007,89.4,22546,1313 of 3143
"Elbert County, Colorado",08039,89.4,23148,1314 of 3143
"Parker County, Texas",48367,89.4,129416,1315 of 3143
"Johnson County, Indiana",18081,89.4,142737,1316 of 3143
"Marathon County, Wisconsin",55073,89.3,122925,1317 of 3143
"Gratiot County, Michigan",26057,89.3,37303,1318 of 3143
"Marion County, Kentucky",21155,89.3,17466,1319 of 3143
"Yadkin County, North Carolina",37197,89.3,33221,1320 of 3143
"Weston County, Wyoming",56045,89.3,6154,1321 of 3143
"Gilliam County, Oregon",41021,89.3,1745,1322 of 3143
"Hinsdale County, Colorado",08053,89.3,766,1323 of 3143
"Meade County, South Dakota",46093,89.3,26387,1324 of 3143
"Butler County, Missouri",29023,89.3,37769,1325 of 3143
"Washington County, Utah",49053,89.2,157520,1326 of 3143
"Traverse County, Minnesota",27155,89.2,2999,1327 of 3143
"Trigg County, Kentucky",21221,89.2,12548,1328 of 3143
"Pike County, Missouri",29163,89.2,16102,1329 of 3143
"Sussex County, New Jersey",34037,89.2,128846,1330 of 3143
"Otoe County, Nebraska",31131,89.2,14192,1331 of 3143
"Morrill County, Nebraska",31123,89.2,4097,1332 of 3143
"Anderson County, Tennessee",47001,89.1,68348,1333 of 3143
"Union County, Ohio",39159,89.1,55055,1334 of 3143
"Howard County, Missouri",29089,89.1,9044,1335 of 3143
"Portage County, Ohio",39133,89.1,144293,1336 of 3143
"Gilchrist County, Florida",12041,89.1,15823,1337 of 3143
"Lake County, Ohio",39085,89.1,206825,1338 of 3143
"Jefferson County, Idaho",16051,89.1,27098,1339 of 3143
"Beaver County, Pennsylvania",42007,89,149834,1340 of 3143
"Kent County, Rhode Island",44003,89,150797,1341 of 3143
"Clarke County, Virginia",51043,89,13110,1342 of 3143
"Lee County, Illinois",17103,89,30599,1343 of 3143
"Custer County, Idaho",16037,89,3803,1344 of 3143
"Sioux County, Nebraska",31165,89,962,1345 of 3143
"Benton County, Minnesota",27009,89,36554,1346 of 3143
"Kenton County, Kentucky",21117,88.9,149657,1347 of 3143
"Eastland County, Texas",48133,88.9,15818,1348 of 3143
"Des Moines County, Iowa",19057,88.9,34743,1349 of 3143
"Summit County, Utah",49043,88.9,37488,1350 of 3143
"George County, Mississippi",28039,88.9,21572,1351 of 3143
"Pettis County, Missouri",29159,88.9,38162,1352 of 3143
"Wayne County, Indiana",18177,88.9,59206,1353 of 3143
"Jefferson County, Washington",53031,88.9,28968,1354 of 3143
"Mille Lacs County, Minnesota",27095,88.9,23463,1355 of 3143
"Cape May County, New Jersey",34009,88.9,84874,1356 of 3143
"Reno County, Kansas",20155,88.9,55167,1357 of 3143
"Barnstable County, Massachusetts",25001,88.9,202569,1358 of 3143
"Nez Perce County, Idaho",16069,88.9,37164,1359 of 3143
"Rappahannock County, Virginia",51157,88.9,6576,1360 of 3143
"Dare County, North Carolina",37055,88.9,32629,1361 of 3143
"Randolph County, Missouri",29175,88.9,22106,1362 of 3143
"Madison County, Ohio",39097,88.9,39047,1363 of 3143
"Pike County, Arkansas",05109,88.8,9090,1364 of 3143
"Marshall County, Alabama",01095,88.8,86307,1365 of 3143
"Duchesne County, Utah",49013,88.8,17451,1366 of 3143
"Massac County, Illinois",17127,88.8,12681,1367 of 3143
"Fremont County, Colorado",08043,88.8,43510,1368 of 3143
"Blue Earth County, Minnesota",27013,88.8,60882,1369 of 3143
"Hardin County, Texas",48199,88.8,49826,1370 of 3143
"Floyd County, Indiana",18043,88.8,70659,1371 of 3143
"Chittenden County, Vermont",50007,88.8,148711,1372 of 3143
"Marion County, Ohio",39101,88.8,58149,1373 of 3143
"Cache County, Utah",49005,88.7,116875,1374 of 3143
"Morgan County, Illinois",17137,88.7,29452,1375 of 3143
"Monongalia County, West Virginia",54061,88.7,93791,1376 of 3143
"Glascock County, Georgia",13125,88.7,2576,1377 of 3143
"Ellsworth County, Kansas",20053,88.7,5681,1378 of 3143
"Berkshire County, Massachusetts",25003,88.7,114526,1379 of 3143
"Carlton County, Minnesota",27017,88.7,32063,1380 of 3143
"Warren County, Tennessee",47177,88.7,36193,1381 of 3143
"Greene County, Missouri",29077,88.7,263346,1382 of 3143
"Cass County, Missouri",29037,88.7,94869,1383 of 3143
"Webster County, Iowa",19187,88.7,32914,1384 of 3143
"Sandusky County, Ohio",39143,88.7,52333,1385 of 3143
"Stark County, North Dakota",38089,88.7,29006,1386 of 3143
"McHenry County, Illinois",17111,88.7,275551,1387 of 3143
"King County, Texas",48269,88.6,203,1388 of 3143
"Plumas County, California",06063,88.6,17401,1389 of 3143
"Walker County, Alabama",01127,88.6,57781,1390 of 3143
"Miami County, Indiana",18103,88.6,31993,1391 of 3143
"Phelps County, Missouri",29161,88.6,39604,1392 of 3143
"Harvey County, Kansas",20079,88.6,30125,1393 of 3143
"Grant County, Oklahoma",40053,88.6,3690,1394 of 3143
"Jackson County, Indiana",18071,88.5,40686,1395 of 3143
"Graves County, Kentucky",21083,88.5,32582,1396 of 3143
"Clay County, Minnesota",27027,88.5,57533,1397 of 3143
"Surry County, North Carolina",37171,88.5,63253,1398 of 3143
"Henderson County, North Carolina",37089,88.5,102346,1399 of 3143
"Carteret County, North Carolina",37031,88.5,60129,1400 of 3143
"Outagamie County, Wisconsin",55087,88.5,167768,1401 of 3143
"Polk County, Minnesota",27119,88.5,27694,1402 of 3143
"Ocean County, New Jersey",34029,88.5,557414,1403 of 3143
"Terrell County, Texas",48443,88.5,866,1404 of 3143
"Nassau County, Florida",12089,88.5,78277,1405 of 3143
"Atchison County, Kansas",20005,88.5,14490,1406 of 3143
"McDonough County, Illinois",17109,88.4,24537,1407 of 3143
"Daviess County, Kentucky",21059,88.4,90642,1408 of 3143
"Lincoln County, Colorado",08073,88.4,4977,1409 of 3143
"Boone County, Kentucky",21015,88.4,118980,1410 of 3143
"Mason County, Kentucky",21161,88.4,15116,1411 of 3143
"Woods County, Oklahoma",40151,88.4,7714,1412 of 3143
"Bristol City, Virginia",51520,88.4,15016,1413 of 3143
"Towner County, North Dakota",38095,88.3,1934,1414 of 3143
"Wise County, Texas",48497,88.3,59937,1415 of 3143
"Franklin County, Virginia",51067,88.3,48404,1416 of 3143
"Yellowstone County, Montana",30111,88.3,144413,1417 of 3143
"Stevens County, Washington",53065,88.3,40654,1418 of 3143
"Clatsop County, Oregon",41007,88.3,35941,1419 of 3143
"Logan County, Illinois",17107,88.3,24921,1420 of 3143
"Toole County, Montana",30101,88.3,4424,1421 of 3143
"Lake County, Oregon",41037,88.2,7165,1422 of 3143
"Davis County, Utah",49011,88.2,316548,1423 of 3143
"Huerfano County, Colorado",08055,88.2,5986,1424 of 3143
"Cooper County, Missouri",29053,88.2,15341,1425 of 3143
"Sabine County, Texas",48403,88.2,8795,1426 of 3143
"Labette County, Kansas",20099,88.2,17831,1427 of 3143
"Bonneville County, Idaho",16019,88.2,107371,1428 of 3143
"Utah County, Utah",49049,88.2,571530,1429 of 3143
"Renville County, Minnesota",27129,88.1,13016,1430 of 3143
"Cheyenne County, Colorado",08017,88.1,1490,1431 of 3143
"Porter County, Indiana",18127,88.1,151838,1432 of 3143
"Bedford City and County, Virginia",51917,88.1,69754,1433 of 3143
"Dixon County, Nebraska",31051,88.1,4960,1434 of 3143
"Gregory County, South Dakota",46053,88.1,3526,1435 of 3143
"Oldham County, Texas",48359,88,1982,1436 of 3143
"Clinton County, Indiana",18023,88,29061,1437 of 3143
"Henderson County, Tennessee",47077,88,24474,1438 of 3143
"Sumter County, Florida",12119,88,112096,1439 of 3143
"Wheeler County, Oregon",41069,88,1300,1440 of 3143
"Sherman County, Oregon",41055,88,1570,1441 of 3143
"Montrose County, Colorado",08085,88,37249,1442 of 3143
"McLean County, North Dakota",38055,88,8611,1443 of 3143
"Pitkin County, Colorado",08097,88,15369,1444 of 3143
"Gillespie County, Texas",48171,88,23510,1445 of 3143
"Sarasota County, Florida",12115,87.9,377600,1446 of 3143
"Palo Pinto County, Texas",48363,87.9,24887,1447 of 3143
"Johnson County, Illinois",17087,87.9,11640,1448 of 3143
"Buena Vista City, Virginia",51530,87.9,5846,1449 of 3143
"Sherman County, Kansas",20181,87.9,5241,1450 of 3143
"Jasper County, Missouri",29097,87.8,107227,1451 of 3143
"Larimer County, Colorado",08069,87.8,311544,1452 of 3143
"Linn County, Oregon",41043,87.8,111729,1453 of 3143
"Rio Blanco County, Colorado",08103,87.8,5705,1454 of 3143
"Coke County, Texas",48081,87.8,2888,1455 of 3143
"Pickens County, Georgia",13227,87.8,28822,1455 of 3143
"Jackson County, Oregon",41029,87.8,194669,1457 of 3143
"Pawnee County, Kansas",20145,87.8,5581,1458 of 3143
"Lincoln County, North Carolina",37109,87.8,75220,1459 of 3143
"Caldwell County, North Carolina",37027,87.8,70857,1460 of 3143
"Cass County, Michigan",26027,87.8,45327,1461 of 3143
"Frederick County, Virginia",51069,87.8,79255,1462 of 3143
"Orleans County, New York",36073,87.8,35628,1463 of 3143
"Chippewa County, Minnesota",27023,87.8,10980,1464 of 3143
"Weakley County, Tennessee",47183,87.8,28916,1465 of 3143
"Pike County, Georgia",13231,87.8,16457,1466 of 3143
"Kanawha County, West Virginia",54039,87.7,159654,1467 of 3143
"Tooele County, Utah",49045,87.7,62578,1468 of 3143
"Henry County, Tennessee",47079,87.7,28330,1469 of 3143
"DeKalb County, Missouri",29063,87.7,10208,1470 of 3143
"Lonoke County, Arkansas",05085,87.7,64745,1471 of 3143
"St. Charles County, Missouri",29183,87.7,352890,1472 of 3143
"Allegany County, Maryland",24001,87.7,60234,1473 of 3143
"Coos County, Oregon",41011,87.7,56669,1474 of 3143
"Delaware County, Indiana",18035,87.7,98639,1475 of 3143
"Stanton County, Kansas",20187,87.7,1831,1476 of 3143
"Livingston Parish, Louisiana",22063,87.7,123685,1477 of 3143
"Loup County, Nebraska",31115,87.7,583,1478 of 3143
"Burleigh County, North Dakota",38015,87.7,85822,1479 of 3143
"Alexander County, North Carolina",37003,87.7,31989,1480 of 3143
"Freeborn County, Minnesota",27047,87.7,27070,1481 of 3143
"Ada County, Idaho",16001,87.6,425267,1482 of 3143
"Raleigh County, West Virginia",54081,87.6,65664,1483 of 3143
"Lincoln County, Tennessee",47103,87.6,30709,1484 of 3143
"Newport County, Rhode Island",44005,87.6,74939,1485 of 3143
"Pope County, Arkansas",05115,87.6,55406,1486 of 3143
"Platte County, Nebraska",31141,87.6,29894,1487 of 3143
"Scott County, Kentucky",21209,87.6,49293,1488 of 3143
"Summit County, Colorado",08117,87.6,27193,1489 of 3143
"Donley County, Texas",48129,87.6,2861,1490 of 3143
"Currituck County, North Carolina",37053,87.6,24151,1491 of 3143
"Ottawa County, Michigan",26139,87.6,257231,1492 of 3143
"Lackawanna County, Pennsylvania",42069,87.6,188746,1493 of 3143
"Crawford County, Arkansas",05033,87.6,52961,1494 of 3143
"Bradley County, Tennessee",47011,87.6,94425,1495 of 3143
"Bourbon County, Kentucky",21017,87.5,17756,1496 of 3143
"Hamblen County, Tennessee",47063,87.5,56189,1497 of 3143
"Carbon County, Wyoming",56007,87.5,12878,1498 of 3143
"Johnson County, Missouri",29101,87.5,47162,1499 of 3143
"Hunterdon County, New Jersey",34019,87.4,112609,1500 of 3143
"Holmes County, Florida",12059,87.4,17152,1501 of 3143
"Albany County, Wyoming",56001,87.4,32612,1502 of 3143
"Johnson County, Arkansas",05071,87.4,22595,1503 of 3143
"Stevens County, Minnesota",27149,87.4,8449,1504 of 3143
"Saline County, Kansas",20169,87.4,47510,1505 of 3143
"Greene County, New York",36039,87.4,41958,1506 of 3143
"Barton County, Kansas",20009,87.3,22448,1507 of 3143
"Trumbull County, Ohio",39155,87.3,176507,1508 of 3143
"Hamilton County, Kansas",20075,87.3,2245,1509 of 3143
"Shawano County, Wisconsin",55115,87.2,35614,1510 of 3143
"Madison County, Arkansas",05087,87.2,14381,1511 of 3143
"Bosque County, Texas",48035,87.2,15929,1512 of 3143
"Redwood County, Minnesota",27127,87.1,13449,1513 of 3143
"Union County, Pennsylvania",42119,87.1,37541,1514 of 3143
"Warren County, Illinois",17187,87.1,14705,1515 of 3143
"Todd County, Kentucky",21219,87.1,10627,1516 of 3143
"Bannock County, Idaho",16005,87.1,75182,1517 of 3143
"Pickens County, South Carolina",45077,87,112821,1518 of 3143
"Mathews County, Virginia",51115,87,7440,1519 of 3143
"Cherry County, Nebraska",31031,87,4791,1520 of 3143
"Charlotte County, Florida",12015,87,160844,1521 of 3143
"Columbia County, New York",36021,87,53590,1522 of 3143
"Sanpete County, Utah",49039,87,24761,1523 of 3143
"Dawes County, Nebraska",31045,86.9,7288,1524 of 3143
"Henderson County, Kentucky",21101,86.9,39206,1525 of 3143
"Chemung County, New York",36015,86.9,73384,1526 of 3143
"Box Butte County, Nebraska",31013,86.9,9402,1527 of 3143
"Cottonwood County, Minnesota",27033,86.9,9976,1528 of 3143
"Moffat County, Colorado",08081,86.9,11500,1529 of 3143
"Lamar County, Alabama",01075,86.9,12098,1530 of 3143
"Roanoke County, Virginia",51161,86.8,83630,1531 of 3143
"Fayette County, Texas",48149,86.8,21228,1532 of 3143
"Perry County, Illinois",17145,86.8,18373,1533 of 3143
"Davie County, North Carolina",37059,86.8,36940,1534 of 3143
"Sweetwater County, Wyoming",56037,86.8,36867,1535 of 3143
"Aransas County, Texas",48007,86.8,20967,1536 of 3143
"Cape Girardeau County, Missouri",29031,86.8,70394,1537 of 3143
"Bon Homme County, South Dakota",46009,86.8,6093,1538 of 3143
"Yavapai County, Arizona",04025,86.8,202822,1539 of 3143
"Independence County, Arkansas",05063,86.7,32779,1540 of 3143
"Pend Oreille County, Washington",53051,86.7,11536,1541 of 3143
"Warren County, Virginia",51187,86.7,35069,1542 of 3143
"Jackson County, Wisconsin",55053,86.7,18212,1543 of 3143
"Bailey County, Texas",48017,86.7,6041,1544 of 3143
"Grant County, Indiana",18053,86.7,57910,1545 of 3143
"Oconee County, Georgia",13219,86.7,35547,1546 of 3143
"Cowlitz County, Washington",53015,86.7,94877,1547 of 3143
"Dallas County, Iowa",19049,86.7,83711,1548 of 3143
"Stark County, Ohio",39151,86.6,324684,1549 of 3143
"Windham County, Connecticut",09015,86.6,100917,1550 of 3143
"Lake County, Michigan",26085,86.6,10606,1551 of 3143
"Brown County, South Dakota",46013,86.6,33313,1552 of 3143
"Wood County, Texas",48499,86.6,38626,1553 of 3143
"Becker County, Minnesota",27005,86.6,30293,1554 of 3143
"Ness County, Kansas",20135,86.5,2351,1555 of 3143
"Clay County, South Dakota",46027,86.5,12817,1556 of 3143
"Isabella County, Michigan",26073,86.5,56764,1557 of 3143
"Millard County, Utah",49027,86.5,11122,1558 of 3143
"Major County, Oklahoma",40093,86.5,6705,1559 of 3143
"Golden Valley County, Montana",30037,86.5,709,1560 of 3143
"Hillsborough County, New Hampshire",33011,86.4,363494,1561 of 3143
"Sullivan County, Missouri",29211,86.4,5225,1562 of 3143
"Buncombe County, North Carolina",37021,86.4,230739,1563 of 3143
"Yuma County, Colorado",08125,86.4,8593,1564 of 3143
"Linn County, Iowa",19113,86.4,197463,1565 of 3143
"Vilas County, Wisconsin",55125,86.4,19706,1566 of 3143
"Madison County, Virginia",51113,86.4,11858,1567 of 3143
"Knox County, Nebraska",31107,86.3,7282,1568 of 3143
"Centre County, Pennsylvania",42027,86.3,137176,1569 of 3143
"Cooke County, Texas",48097,86.3,35585,1569 of 3143
"Graham County, North Carolina",37075,86.3,6984,1571 of 3143
"Madison County, Indiana",18095,86.3,112268,1572 of 3143
"Sheboygan County, Wisconsin",55117,86.3,101458,1573 of 3143
"Poinsett County, Arkansas",05111,86.3,20032,1574 of 3143
"Warren County, Ohio",39165,86.3,206637,1575 of 3143
"Woodward County, Oklahoma",40153,86.3,17761,1576 of 3143
"Laramie County, Wyoming",56021,86.2,86159,1577 of 3143
"Powhatan County, Virginia",51145,86.2,25851,1578 of 3143
"Morton County, Kansas",20129,86.2,2366,1579 of 3143
"Rice County, Kansas",20159,86.2,8159,1580 of 3143
"St. Clair County, Alabama",01115,86.2,77943,1581 of 3143
"Lewis County, Washington",53041,86.2,70011,1582 of 3143
"Cecil County, Maryland",24015,86.2,89109,1583 of 3143
"Niagara County, New York",36063,86.2,183420,1584 of 3143
"Washita County, Oklahoma",40149,86.2,9493,1585 of 3143
"Haines Borough, Alaska",02100,86.2,1808,1586 of 3143
"Queen Annes County, Maryland",24035,86.2,42831,1587 of 3143
"Wahkiakum County, Washington",53069,86.2,3768,1588 of 3143
"Fannin County, Texas",48147,86.2,30547,1589 of 3143
"Heard County, Georgia",13149,86.2,9856,1590 of 3143
"Wapello County, Iowa",19179,86.1,30447,1591 of 3143
