Demographic Data Report for United States by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Male"
2017-2021 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Cape Girardeau County, Missouri",29031,2.8,692,"964 of 3143"
"Wilson County, Tennessee",47189,2.8,1329,"963 of 3143"
"Richland County, South Carolina",45079,2.8,3368,"962 of 3143"
"Jackson County, Illinois",17077,2.7,432,"961 of 3143"
"Menominee County, Wisconsin",55078,2.7,32,"960 of 3143"
"Butte County, Idaho",16023,2.7,27,"959 of 3143"
"Phelps County, Nebraska",31137,2.7,83,"958 of 3143"
"Rensselaer County, New York",36083,2.7,1508,"957 of 3143"
"Coweta County, Georgia",13077,2.7,1292,"956 of 3143"
"Saginaw County, Michigan",26145,2.7,1725,"955 of 3143"
"Butler County, Ohio",39017,2.7,3307,"954 of 3143"
"Lincoln County, Oregon",41041,2.7,499,"953 of 3143"
"Arenac County, Michigan",26011,2.7,157,"952 of 3143"
"Clarke County, Virginia",51043,2.7,145,"951 of 3143"
"Snohomish County, Washington",53061,2.7,7831,"950 of 3143"
"Fayette County, Ohio",39047,2.7,258,"949 of 3143"
"Treutlen County, Georgia",13283,2.7,63,"948 of 3143"
"York County, South Carolina",45091,2.7,2432,"947 of 3143"
"Putnam County, West Virginia",54079,2.7,530,"946 of 3143"
"Yavapai County, Arizona",04025,2.7,2380,"945 of 3143"
"Northampton County, Pennsylvania",42095,2.7,2889,"944 of 3143"
"Coconino County, Arizona",04005,2.7,1173,"942 of 3143"
"Surry County, Virginia",51181,2.7,67,"942 of 3143"
"Brown County, Ohio",39015,2.7,411,"941 of 3143"
"Jefferson County, Kentucky",21111,2.7,6985,"940 of 3143"
"Shasta County, California",06089,2.7,1696,"939 of 3143"
"Todd County, South Dakota",46121,2.7,59,"938 of 3143"
"Stafford County, Virginia",51179,2.7,1344,"937 of 3143"
"Dade County, Missouri",29057,2.7,74,"936 of 3143"
"Lee County, Iowa",19111,2.7,325,"935 of 3143"
"Harrison County, Indiana",18061,2.7,376,"934 of 3143"
"Bossier Parish, Louisiana",22015,2.7,1115,"932 of 3143"
"Walton County, Florida",12131,2.7,738,"932 of 3143"
"Stark County, North Dakota",38089,2.7,296,"931 of 3143"
"Nevada County, Arkansas",05099,2.7,73,"930 of 3143"
"Baylor County, Texas",48023,2.7,30,"929 of 3143"
"Wabasha County, Minnesota",27157,2.7,210,"928 of 3143"
"Antrim County, Michigan",26009,2.7,237,"927 of 3143"
"Defiance County, Ohio",39039,2.7,346,"926 of 3143"
"Chouteau County, Montana",30015,2.7,56,"925 of 3143"
"Golden Valley County, North Dakota",38033,2.7,18,"924 of 3143"
"Sheridan County, Nebraska",31161,2.7,46,"923 of 3143"
"Niagara County, New York",36063,2.7,1991,"922 of 3143"
"Sagadahoc County, Maine",23023,2.7,357,"921 of 3143"
"Hamilton County, Ohio",39061,2.7,7141,"920 of 3143"
"Washington County, Illinois",17189,2.7,134,"919 of 3143"
"Lincoln County, Oklahoma",40081,2.7,308,"918 of 3143"
"Weber County, Utah",49057,2.7,2181,"917 of 3143"
"Kiowa County, Oklahoma",40075,2.7,78,"915 of 3143"
"Oneida County, Idaho",16071,2.7,39,"915 of 3143"
"Johnson County, Missouri",29101,2.7,432,"914 of 3143"
"Vigo County, Indiana",18167,2.7,927,"913 of 3143"
"Rogers County, Oklahoma",40131,2.7,849,"912 of 3143"
"La Salle County, Illinois",17099,2.7,1045,"911 of 3143"
"Ionia County, Michigan",26067,2.7,652,"910 of 3143"
"Albany County, New York",36001,2.7,2705,"909 of 3143"
"Churchill County, Nevada",32001,2.7,230,"908 of 3143"
"Gibson County, Indiana",18051,2.7,298,"907 of 3143"
"Jackson County, Missouri",29095,2.7,6189,"905 of 3143"
"Pontotoc County, Oklahoma",40123,2.7,316,"905 of 3143"
"Waseca County, Minnesota",27161,2.7,167,"904 of 3143"
"Houghton County, Michigan",26061,2.7,299,"903 of 3143"
"Schuyler County, Missouri",29197,2.7,35,"902 of 3143"
"Cheshire County, New Hampshire",33005,2.7,703,"901 of 3143"
"Dallas County, Arkansas",05039,2.7,59,"900 of 3143"
"Carlton County, Minnesota",27017,2.7,358,"899 of 3143"
"Lincoln County, Nebraska",31111,2.7,316,"898 of 3143"
"Knox County, Indiana",18083,2.7,318,"897 of 3143"
"St. Joseph County, Indiana",18141,2.7,2278,"896 of 3143"
"Effingham County, Georgia",13103,2.7,536,"895 of 3143"
"Lawrence County, Ohio",39087,2.7,524,"894 of 3143"
"Grady County, Oklahoma",40051,2.7,487,"893 of 3143"
"Perquimans County, North Carolina",37143,2.7,124,"892 of 3143"
"Kent County, Rhode Island",44003,2.6,1594,"891 of 3143"
"Union County, Iowa",19175,2.6,106,"890 of 3143"
"Pierce County, Washington",53053,2.6,7999,"889 of 3143"
"Weston County, Wyoming",56045,2.6,68,"888 of 3143"
"Merrimack County, New Hampshire",33013,2.6,1422,"887 of 3143"
"Warren County, New York",36113,2.6,633,"886 of 3143"
"Dodge County, Wisconsin",55027,2.6,897,"885 of 3143"
"Winneshiek County, Iowa",19191,2.6,175,"884 of 3143"
"Lenawee County, Michigan",26091,2.6,909,"883 of 3143"
"Wheeler County, Nebraska",31183,2.6,8,"882 of 3143"
"Orange County, North Carolina",37135,2.6,1147,"881 of 3143"
"Sauk County, Wisconsin",55111,2.6,592,"880 of 3143"
"Sioux County, Nebraska",31165,2.6,10,"879 of 3143"
"Perry County, Indiana",18123,2.6,194,"877 of 3143"
"Sheridan County, Montana",30091,2.6,34,"877 of 3143"
"Otsego County, New York",36077,2.6,510,"876 of 3143"
"Morgan County, Indiana",18109,2.6,636,"875 of 3143"
"King George County, Virginia",51099,2.6,230,"874 of 3143"
"Pine County, Minnesota",27115,2.6,302,"873 of 3143"
"Hillsborough County, New Hampshire",33011,2.6,3864,"872 of 3143"
"Lawrence County, Pennsylvania",42073,2.6,777,"871 of 3143"
"Crawford County, Kansas",20037,2.6,300,"870 of 3143"
"Allen County, Ohio",39003,2.6,891,"869 of 3143"
"Davie County, North Carolina",37059,2.6,381,"868 of 3143"
"Charleston County, South Carolina",45019,2.6,3601,"867 of 3143"
"Roosevelt County, Montana",30085,2.6,79,"866 of 3143"
"Fayette County, Pennsylvania",42051,2.6,1224,"865 of 3143"
"Musselshell County, Montana",30065,2.6,48,"864 of 3143"
"Wibaux County, Montana",30109,2.6,9,"863 of 3143"
"Fulton County, Georgia",13121,2.6,8930,"862 of 3143"
"Hyde County, South Dakota",46069,2.6,13,"860 of 3143"
"Pershing County, Nevada",32027,2.6,91,"860 of 3143"
"Wabash County, Indiana",18169,2.6,267,"859 of 3143"
"Lincoln County, Wisconsin",55069,2.6,277,"858 of 3143"
"Erie County, Pennsylvania",42049,2.6,2382,"856 of 3143"
"Wayne County, Pennsylvania",42127,2.6,549,"856 of 3143"
"Salem County, New Jersey",34033,2.6,567,"855 of 3143"
"Hancock County, Mississippi",28045,2.6,405,"854 of 3143"
"Sierra County, California",06091,2.6,31,"853 of 3143"
"Jasper County, Iowa",19099,2.6,353,"852 of 3143"
"Genesee County, Michigan",26049,2.6,3431,"851 of 3143"
"Warren County, New Jersey",34041,2.6,992,"850 of 3143"
"Charles County, Maryland",24017,2.6,1355,"849 of 3143"
"Johnson County, Indiana",18081,2.6,1338,"848 of 3143"
"Lyon County, Minnesota",27083,2.6,203,"847 of 3143"
"Kay County, Oklahoma",40071,2.6,369,"846 of 3143"
"Autauga County, Alabama",01001,2.6,490,"845 of 3143"
"Moffat County, Colorado",08081,2.6,115,"844 of 3143"
"Pulaski County, Indiana",18131,2.6,112,"843 of 3143"
"McHenry County, Illinois",17111,2.6,2702,"842 of 3143"
"Whitley County, Indiana",18183,2.6,298,"841 of 3143"
"Clay County, Illinois",17025,2.6,119,"840 of 3143"
"Kearney County, Nebraska",31099,2.6,56,"839 of 3143"
"Nemaha County, Nebraska",31127,2.6,59,"838 of 3143"
"Escambia County, Florida",12033,2.6,2666,"837 of 3143"
"Norfolk County, Massachusetts",25021,2.6,6184,"836 of 3143"
"Caroline County, Virginia",51033,2.6,258,"835 of 3143"
"Andrew County, Missouri",29003,2.6,157,"834 of 3143"
"Allegan County, Michigan",26005,2.6,1032,"833 of 3143"
"Mineral County, Nevada",32021,2.6,40,"832 of 3143"
"Cascade County, Montana",30013,2.6,732,"831 of 3143"
"Thayer County, Nebraska",31169,2.6,45,"830 of 3143"
"Blaine County, Montana",30005,2.6,51,"829 of 3143"
"Rock County, Wisconsin",55105,2.6,1388,"828 of 3143"
"Essex County, New York",36031,2.6,384,"827 of 3143"
"Huntington County, Indiana",18069,2.5,315,"826 of 3143"
"Logan County, Illinois",17107,2.5,242,"825 of 3143"
"Winona County, Minnesota",27169,2.5,398,"824 of 3143"
"Montezuma County, Colorado",08083,2.5,232,"823 of 3143"
"Mason County, Michigan",26105,2.5,264,"821 of 3143"
"Ray County, Missouri",29177,2.5,204,"821 of 3143"
"Montmorency County, Michigan",26119,2.5,94,"820 of 3143"
"Bryan County, Georgia",13029,2.5,333,"819 of 3143"
"Union County, Kentucky",21225,2.5,114,"818 of 3143"
"Mahoning County, Ohio",39099,2.5,2016,"817 of 3143"
"Slope County, North Dakota",38087,2.5,8,"816 of 3143"
"Rice County, Kansas",20159,2.5,77,"815 of 3143"
"Warren County, Pennsylvania",42123,2.5,361,"814 of 3143"
"Pike County, Illinois",17149,2.5,128,"813 of 3143"
"Manistee County, Michigan",26101,2.5,247,"812 of 3143"
"New Hanover County, North Carolina",37129,2.5,1861,"811 of 3143"
"Dawson County, Georgia",13085,2.5,236,"810 of 3143"
"Comal County, Texas",48091,2.5,1359,"809 of 3143"
"Chippewa County, Wisconsin",55017,2.5,621,"808 of 3143"
"Baldwin County, Alabama",01003,2.5,1962,"807 of 3143"
"Chariton County, Missouri",29041,2.5,64,"806 of 3143"
"Carroll County, Indiana",18015,2.5,180,"805 of 3143"
"Bent County, Colorado",08011,2.5,74,"804 of 3143"
"Piatt County, Illinois",17147,2.5,145,"803 of 3143"
"Montgomery County, Ohio",39113,2.5,4373,"802 of 3143"
"Cache County, Utah",49005,2.5,853,"801 of 3143"
"Fulton County, Ohio",39051,2.5,359,"800 of 3143"
"Stafford County, Kansas",20185,2.5,35,"799 of 3143"
"Cloud County, Kansas",20029,2.5,74,"798 of 3143"
"Newton County, Arkansas",05101,2.5,68,"797 of 3143"
"Loudoun County, Virginia",51107,2.5,3303,"796 of 3143"
"Montour County, Pennsylvania",42093,2.5,157,"795 of 3143"
"New London County, Connecticut",09011,2.5,2340,"794 of 3143"
"Cleveland County, Oklahoma",40027,2.5,2316,"793 of 3143"
"Benton County, Minnesota",27009,2.5,339,"792 of 3143"
"Deer Lodge County, Montana",30023,2.5,94,"791 of 3143"
"Clermont County, Ohio",39025,2.5,1758,"790 of 3143"
"Cottle County, Texas",48101,2.5,11,"789 of 3143"
"Bowman County, North Dakota",38011,2.5,26,"788 of 3143"
"Tippecanoe County, Indiana",18157,2.5,1273,"787 of 3143"
"Marquette County, Wisconsin",55077,2.5,146,"786 of 3143"
"Muskingum County, Ohio",39119,2.5,707,"785 of 3143"
"Buffalo County, South Dakota",46017,2.5,13,"784 of 3143"
"Isabella County, Michigan",26073,2.5,453,"782 of 3143"
"Martin County, Minnesota",27091,2.5,175,"782 of 3143"
"Penobscot County, Maine",23019,2.5,1311,"781 of 3143"
"Lincoln County, Colorado",08073,2.5,64,"780 of 3143"
"Henry County, Georgia",13151,2.5,1760,"779 of 3143"
"Tooele County, Utah",49045,2.5,519,"778 of 3143"
"Hickman County, Kentucky",21105,2.5,37,"777 of 3143"
"Hawaii County, Hawaii",15001,2.5,1744,"776 of 3143"
"Morgan County, Ohio",39115,2.5,122,"775 of 3143"
"Manitowoc County, Wisconsin",55071,2.5,718,"774 of 3143"
"Hunterdon County, New Jersey",34019,2.5,1116,"773 of 3143"
"Taney County, Missouri",29213,2.5,451,"772 of 3143"
"Marathon County, Wisconsin",55073,2.5,1177,"771 of 3143"
"Juneau County, Wisconsin",55057,2.5,261,"770 of 3143"
"Henry County, Indiana",18065,2.5,450,"769 of 3143"
"Venango County, Pennsylvania",42121,2.5,453,"768 of 3143"
"Perkins County, South Dakota",46105,2.5,26,"767 of 3143"
"Asotin County, Washington",53003,2.5,195,"766 of 3143"
"Walworth County, Wisconsin",55127,2.5,864,"765 of 3143"
"Waldo County, Maine",23027,2.5,354,"764 of 3143"
"Williamson County, Illinois",17199,2.5,585,"763 of 3143"
"DeKalb County, Indiana",18033,2.5,351,"762 of 3143"
"Allen County, Kansas",20001,2.5,100,"761 of 3143"
"Pacific County, Washington",53049,2.4,215,"760 of 3143"
"Vermillion County, Indiana",18165,2.4,130,"759 of 3143"
"Marion County, Iowa",19125,2.4,269,"758 of 3143"
"Nez Perce County, Idaho",16069,2.4,347,"757 of 3143"
"Miller County, Missouri",29131,2.4,205,"756 of 3143"
"Grant County, Minnesota",27051,2.4,53,"755 of 3143"
"McClain County, Oklahoma",40087,2.4,330,"754 of 3143"
"Saline County, Arkansas",05125,2.4,1001,"753 of 3143"
"Orange County, Texas",48361,2.4,679,"752 of 3143"
"Hot Spring County, Arkansas",05059,2.4,295,"751 of 3143"
"Franklin County, Nebraska",31061,2.4,26,"750 of 3143"
"Saratoga County, New York",36091,2.4,2018,"749 of 3143"
"Gage County, Nebraska",31067,2.4,181,"748 of 3143"
"Greene County, Pennsylvania",42059,2.4,329,"747 of 3143"
"North Slope Borough, Alaska",02185,2.4,108,"746 of 3143"
"Page County, Iowa",19145,2.4,142,"745 of 3143"
"Henry County, Illinois",17073,2.4,413,"744 of 3143"
"Burleigh County, North Dakota",38015,2.4,795,"743 of 3143"
"Tolland County, Connecticut",09013,2.4,1160,"742 of 3143"
"Ramsey County, North Dakota",38071,2.4,94,"741 of 3143"
"Portsmouth City, Virginia",51740,2.4,742,"740 of 3143"
"Mineral County, Montana",30061,2.4,43,"739 of 3143"
"Luce County, Michigan",26095,2.4,62,"738 of 3143"
"Harrison County, Iowa",19085,2.4,122,"737 of 3143"
"Ransom County, North Dakota",38073,2.4,49,"736 of 3143"
"Amador County, California",06005,2.4,420,"735 of 3143"
"Charlottesville City, Virginia",51540,2.4,346,"734 of 3143"
"New Kent County, Virginia",51127,2.4,200,"733 of 3143"
"Beaufort County, South Carolina",45013,2.4,1547,"732 of 3143"
"Osage County, Oklahoma",40113,2.4,390,"731 of 3143"
"Chesapeake City, Virginia",51550,2.4,1918,"730 of 3143"
"Montgomery County, Iowa",19137,2.4,82,"729 of 3143"
"Duchesne County, Utah",49013,2.4,141,"727 of 3143"
"Norton County, Kansas",20137,2.4,55,"727 of 3143"
"Camden County, Missouri",29029,2.4,385,"726 of 3143"
"Houston County, Georgia",13153,2.4,1200,"725 of 3143"
"Cumberland County, North Carolina",37051,2.4,2342,"724 of 3143"
"Posey County, Indiana",18129,2.4,211,"723 of 3143"
"Oktibbeha County, Mississippi",28105,2.4,305,"722 of 3143"
"Transylvania County, North Carolina",37175,2.4,282,"721 of 3143"
"Shawnee County, Kansas",20177,2.4,1382,"720 of 3143"
"Macon County, Missouri",29121,2.4,121,"718 of 3143"
"Osborne County, Kansas",20141,2.4,30,"718 of 3143"
"Montgomery County, Tennessee",47125,2.4,1564,"716 of 3143"
"Morgan County, West Virginia",54065,2.4,155,"716 of 3143"
"Trinity County, California",06105,2.4,150,"715 of 3143"
"Summit County, Colorado",08117,2.4,316,"714 of 3143"
"Boone County, Kentucky",21015,2.4,1036,"713 of 3143"
"Roseau County, Minnesota",27135,2.4,129,"712 of 3143"
"Armstrong County, Pennsylvania",42005,2.4,572,"711 of 3143"
"Washington County, Utah",49053,2.4,1331,"710 of 3143"
"Crawford County, Michigan",26039,2.4,118,"709 of 3143"
"Daniels County, Montana",30019,2.4,15,"708 of 3143"
"Lemhi County, Idaho",16059,2.4,73,"707 of 3143"
"Lane County, Oregon",41039,2.4,3036,"706 of 3143"
"Deschutes County, Oregon",41017,2.4,1656,"705 of 3143"
"Summit County, Utah",49043,2.4,347,"704 of 3143"
"Ingham County, Michigan",26065,2.4,1985,"703 of 3143"
"St. Clair County, Missouri",29185,2.4,79,"702 of 3143"
"Radford City, Virginia",51750,2.4,84,"701 of 3143"
"Juab County, Utah",49023,2.4,77,"700 of 3143"
"Madison County, Alabama",01089,2.4,2991,"699 of 3143"
"Blue Earth County, Minnesota",27013,2.3,474,"698 of 3143"
"Centre County, Pennsylvania",42027,2.3,1210,"697 of 3143"
"Columbia County, Pennsylvania",42037,2.3,498,"696 of 3143"
"Talbot County, Maryland",24041,2.3,311,"695 of 3143"
"Koochiching County, Minnesota",27071,2.3,108,"694 of 3143"
"Monmouth County, New Jersey",34025,2.3,5103,"693 of 3143"
"Campbell County, Kentucky",21037,2.3,736,"692 of 3143"
"Creek County, Oklahoma",40037,2.3,562,"690 of 3143"
"Langlade County, Wisconsin",55067,2.3,167,"690 of 3143"
"Stark County, Illinois",17175,2.3,45,"689 of 3143"
"Preble County, Ohio",39135,2.3,329,"688 of 3143"
"Adair County, Missouri",29001,2.3,156,"687 of 3143"
"Sanborn County, South Dakota",46111,2.3,18,"686 of 3143"
"Grafton County, New Hampshire",33009,2.3,728,"685 of 3143"
"Brown County, South Dakota",46013,2.3,293,"684 of 3143"
"Tuscola County, Michigan",26157,2.3,448,"683 of 3143"
"Covington City, Virginia",51580,2.3,45,"682 of 3143"
"Sumter County, Florida",12119,2.3,1329,"681 of 3143"
"Delaware County, Iowa",19055,2.3,141,"680 of 3143"
"Portage County, Wisconsin",55097,2.3,533,"679 of 3143"
"Shelby County, Iowa",19165,2.3,92,"678 of 3143"
"Brunswick County, North Carolina",37019,2.3,1168,"677 of 3143"
"Lycoming County, Pennsylvania",42081,2.3,903,"676 of 3143"
"Chaffee County, Colorado",08015,2.3,181,"675 of 3143"
"Wyandot County, Ohio",39175,2.3,174,"674 of 3143"
"Madison County, New York",36053,2.3,532,"673 of 3143"
"Lincoln County, Nevada",32017,2.3,44,"672 of 3143"
"Seminole County, Florida",12117,2.3,3663,"671 of 3143"
"Clallam County, Washington",53009,2.3,666,"670 of 3143"
"Cass County, Nebraska",31025,2.3,209,"669 of 3143"
"Gilliam County, Oregon",41021,2.3,17,"668 of 3143"
"Delaware County, Pennsylvania",42045,2.3,4271,"667 of 3143"
"Benton County, Iowa",19011,2.3,205,"666 of 3143"
"Calaveras County, California",06009,2.3,398,"665 of 3143"
"Christian County, Illinois",17021,2.3,285,"664 of 3143"
"Custer County, Nebraska",31041,2.3,84,"663 of 3143"
"Coos County, Oregon",41011,2.3,549,"662 of 3143"
"Payne County, Oklahoma",40119,2.3,511,"661 of 3143"
"Gove County, Kansas",20063,2.3,22,"660 of 3143"
"Clear Creek County, Colorado",08019,2.3,89,"659 of 3143"
"Aitkin County, Minnesota",27001,2.3,142,"658 of 3143"
"Alachua County, Florida",12001,2.3,1866,"657 of 3143"
"Hancock County, Iowa",19081,2.3,87,"656 of 3143"
"Pratt County, Kansas",20151,2.3,67,"655 of 3143"
"Howard County, Nebraska",31093,2.3,51,"654 of 3143"
"Cumberland County, Illinois",17035,2.3,86,"653 of 3143"
"Washington County, Oklahoma",40147,2.3,389,"652 of 3143"
"Jefferson County, Montana",30043,2.3,102,"651 of 3143"
"Macoupin County, Illinois",17117,2.3,354,"650 of 3143"
"Peoria County, Illinois",17143,2.3,1334,"649 of 3143"
"Clay County, Florida",12019,2.3,1649,"648 of 3143"
"Wheeler County, Oregon",41069,2.3,13,"647 of 3143"
"Burlington County, New Jersey",34005,2.3,3600,"646 of 3143"
"Washington County, Nebraska",31177,2.3,157,"645 of 3143"
"Jefferson County, New York",36045,2.3,877,"644 of 3143"
"Noble County, Oklahoma",40103,2.3,83,"643 of 3143"
"Winnebago County, Iowa",19189,2.3,81,"642 of 3143"
"Tioga County, New York",36107,2.3,387,"641 of 3143"
"Box Elder County, Utah",49003,2.3,385,"640 of 3143"
"Anne Arundel County, Maryland",24003,2.3,4439,"639 of 3143"
"Beltrami County, Minnesota",27007,2.3,314,"638 of 3143"
"Montgomery County, Kansas",20125,2.3,236,"637 of 3143"
"Fremont County, Colorado",08043,2.3,511,"636 of 3143"
"Blair County, Pennsylvania",42013,2.3,958,"635 of 3143"
"Clark County, Ohio",39023,2.3,1001,"634 of 3143"
"Bay County, Michigan",26017,2.3,825,"633 of 3143"
"Macon County, Illinois",17115,2.3,762,"632 of 3143"
"Bland County, Virginia",51021,2.3,63,"631 of 3143"
"Litchfield County, Connecticut",09005,2.3,1525,"630 of 3143"
"Carroll County, Missouri",29033,2.2,66,"629 of 3143"
"Clay County, Indiana",18021,2.2,202,"628 of 3143"
"Hampton City, Virginia",51650,2.2,961,"627 of 3143"
"Shiawassee County, Michigan",26155,2.2,530,"626 of 3143"
"Bristol City, Virginia",51520,2.2,127,"625 of 3143"
"Carteret County, North Carolina",37031,2.2,557,"624 of 3143"
"Fond du Lac County, Wisconsin",55039,2.2,799,"623 of 3143"
"Cedar County, Iowa",19031,2.2,144,"622 of 3143"
"Isle of Wight County, Virginia",51093,2.2,301,"621 of 3143"
"Monroe County, Iowa",19135,2.2,57,"620 of 3143"
"Ottawa County, Michigan",26139,2.2,2025,"619 of 3143"
"Kittson County, Minnesota",27069,2.2,33,"618 of 3143"
"Northumberland County, Virginia",51133,2.2,100,"617 of 3143"
"Liberty County, Georgia",13179,2.2,409,"616 of 3143"
"Nelson County, Kentucky",21179,2.2,345,"615 of 3143"
"Garfield County, Montana",30033,2.2,7,"614 of 3143"
"Brevard County, Florida",12009,2.2,4806,"613 of 3143"
"Genesee County, New York",36037,2.2,467,"612 of 3143"
"McCracken County, Kentucky",21145,2.2,493,"611 of 3143"
"Cumberland County, Pennsylvania",42041,2.2,1978,"610 of 3143"
"Stevens County, Washington",53065,2.2,363,"609 of 3143"
"Oxford County, Maine",23017,2.2,475,"608 of 3143"
"Waupaca County, Wisconsin",55135,2.2,420,"607 of 3143"
"Grand Isle County, Vermont",50013,2.2,61,"606 of 3143"
"Carter County, Missouri",29035,2.2,41,"605 of 3143"
"Toole County, Montana",30101,2.2,46,"604 of 3143"
"Sarasota County, Florida",12115,2.2,3556,"603 of 3143"
"Pike County, Missouri",29163,2.2,150,"602 of 3143"
"Calhoun County, Arkansas",05013,2.2,37,"601 of 3143"
"Vanderburgh County, Indiana",18163,2.2,1296,"600 of 3143"
"Leon County, Florida",12073,2.2,1793,"599 of 3143"
"Pike County, Alabama",01109,2.2,199,"598 of 3143"
"Delaware County, Indiana",18035,2.2,729,"597 of 3143"
"Teton County, Wyoming",56039,2.2,201,"596 of 3143"
"Jackson County, Michigan",26075,2.2,1252,"595 of 3143"
"Butler County, Nebraska",31023,2.2,63,"594 of 3143"
"Washington County, Kansas",20201,2.2,43,"593 of 3143"
"Scott County, Kentucky",21209,2.2,396,"592 of 3143"
"Wright County, Iowa",19197,2.2,97,"591 of 3143"
"Clark County, Washington",53011,2.2,3609,"590 of 3143"
"Garfield County, Utah",49017,2.2,40,"588 of 3143"
"Rush County, Indiana",18139,2.2,124,"588 of 3143"
"Newport County, Rhode Island",44005,2.2,675,"587 of 3143"
"Billings County, North Dakota",38007,2.2,7,"586 of 3143"
"Ravalli County, Montana",30081,2.2,349,"585 of 3143"
"Cass County, Minnesota",27021,2.2,242,"584 of 3143"
"Tipton County, Indiana",18159,2.2,117,"583 of 3143"
"Butler County, Kansas",20015,2.2,480,"582 of 3143"
"King William County, Virginia",51101,2.2,125,"581 of 3143"
"Somervell County, Texas",48425,2.2,69,"580 of 3143"
"Fluvanna County, Virginia",51065,2.2,194,"579 of 3143"
"Jefferson County, Kansas",20087,2.2,141,"577 of 3143"
"Summit County, Ohio",39153,2.2,3951,"577 of 3143"
"Marion County, Texas",48315,2.2,74,"576 of 3143"
"Washita County, Oklahoma",40149,2.1,79,"575 of 3143"
"Jackson County, South Dakota",46071,2.1,18,"574 of 3143"
"Chippewa County, Michigan",26033,2.1,302,"573 of 3143"
"Tuolumne County, California",06109,2.1,472,"572 of 3143"
"Richland County, North Dakota",38077,2.1,117,"571 of 3143"
"Morris County, Kansas",20127,2.1,42,"570 of 3143"
"Strafford County, New Hampshire",33017,2.1,908,"569 of 3143"
"Rutland County, Vermont",50021,2.1,467,"568 of 3143"
"Columbia County, Oregon",41009,2.1,400,"567 of 3143"
"Antelope County, Nebraska",31003,2.1,46,"566 of 3143"
"Clay County, Nebraska",31035,2.1,45,"565 of 3143"
"Hanover County, Virginia",51085,2.1,776,"563 of 3143"
"Middlesex County, Connecticut",09007,2.1,1249,"563 of 3143"
"Lake County, Ohio",39085,2.1,1730,"562 of 3143"
"Greene County, Iowa",19073,2.1,64,"561 of 3143"
"Polk County, Nebraska",31143,2.1,38,"560 of 3143"
"Morton County, North Dakota",38059,2.1,240,"559 of 3143"
"Lorain County, Ohio",39093,2.1,2243,"558 of 3143"
"Reno County, Kansas",20155,2.1,452,"557 of 3143"
"Effingham County, Illinois",17049,2.1,249,"556 of 3143"
"Champaign County, Ohio",39021,2.1,280,"554 of 3143"
"Clackamas County, Oregon",41005,2.1,3083,"554 of 3143"
"White County, Illinois",17193,2.1,103,"553 of 3143"
"Potter County, South Dakota",46107,2.1,19,"552 of 3143"
"Jefferson County, Nebraska",31095,2.1,53,"551 of 3143"
"Santa Rosa County, Florida",12113,2.1,1384,"550 of 3143"
"Shawano County, Wisconsin",55115,2.1,309,"549 of 3143"
"Johnson County, Iowa",19103,2.1,948,"548 of 3143"
"Montgomery County, Pennsylvania",42091,2.1,6089,"547 of 3143"
"Whatcom County, Washington",53073,2.1,1561,"546 of 3143"
"Cedar County, Nebraska",31027,2.1,59,"545 of 3143"
"Eau Claire County, Wisconsin",55035,2.1,698,"544 of 3143"
"Perry County, Ohio",39127,2.1,257,"543 of 3143"
"Howard County, Maryland",24027,2.1,2255,"542 of 3143"
"Callaway County, Missouri",29027,2.1,329,"541 of 3143"
"Becker County, Minnesota",27005,2.1,251,"540 of 3143"
"Cheboygan County, Michigan",26031,2.1,205,"539 of 3143"
"Porter County, Indiana",18127,2.1,1215,"538 of 3143"
"Seward County, Nebraska",31159,2.1,116,"537 of 3143"
"Bennington County, Vermont",50003,2.1,263,"535 of 3143"
"Leavenworth County, Kansas",20103,2.1,622,"535 of 3143"
"Ford County, Illinois",17053,2.1,96,"534 of 3143"
"Brown County, Minnesota",27015,2.1,181,"533 of 3143"
"Wasatch County, Utah",49051,2.1,217,"532 of 3143"
"Ottawa County, Ohio",39123,2.1,316,"531 of 3143"
"Washburn County, Wisconsin",55129,2.1,129,"530 of 3143"
"Monroe County, Ohio",39111,2.1,102,"529 of 3143"
"Faulk County, South Dakota",46049,2.1,15,"527 of 3143"
"Pottawatomie County, Oklahoma",40125,2.1,468,"527 of 3143"
"Clay County, South Dakota",46027,2.1,78,"525 of 3143"
"Wood County, Wisconsin",55141,2.1,537,"525 of 3143"
"Stark County, Ohio",39151,2.1,2598,"524 of 3143"
"Boulder County, Colorado",08013,2.1,2273,"523 of 3143"
"Grundy County, Illinois",17063,2.1,354,"522 of 3143"
"Glacier County, Montana",30035,2.1,84,"521 of 3143"
"Ferry County, Washington",53019,2.1,57,"520 of 3143"
"Washington County, Ohio",39167,2.1,432,"519 of 3143"
"Dare County, North Carolina",37055,2.1,278,"518 of 3143"
"Mahaska County, Iowa",19123,2.1,150,"517 of 3143"
"Jackson County, Minnesota",27063,2.1,75,"516 of 3143"
"El Paso County, Colorado",08041,2.1,4814,"515 of 3143"
"Tioga County, Pennsylvania",42117,2.1,299,"514 of 3143"
"Cass County, Missouri",29037,2.1,722,"513 of 3143"
"Oconto County, Wisconsin",55083,2.1,299,"512 of 3143"
