Demographic Data Report for United States by County,,,,
Poverty: Persons below poverty,,,,
"All Ages, Black (includes Hispanic), Male",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Valencia County, New Mexico",35061,42.4,189,2448 of 2897
"Sandusky County, Ohio",39143,42.4,369,2447 of 2897
"Vermilion County, Illinois",17183,42.3,1802,2446 of 2897
"Washington County, Rhode Island",44009,42.3,223,2445 of 2897
"Harvey County, Kansas",20079,42.3,126,2444 of 2897
"Franklin County, Arkansas",05047,42.2,19,2442 of 2897
"Mason County, West Virginia",54053,42.2,19,2442 of 2897
Puerto Rico,72001,42.2,67037,2441 of 2897
"Humboldt County, California",06023,42.2,341,2440 of 2897
"Greene County, New York",36039,42.1,313,2439 of 2897
"Hart County, Kentucky",21099,42.1,194,2438 of 2897
"Clatsop County, Oregon",41007,41.9,70,2437 of 2897
"Grimes County, Texas",48185,41.7,604,2436 of 2897
"Venango County, Pennsylvania",42121,41.7,106,2435 of 2897
"Jefferson County, Florida",12065,41.7,706,2434 of 2897
"Montague County, Texas",48337,41.7,35,2430 of 2897
